language;allowance_id;theme;group_by;financing_category;financing_id;financing_label;financing_year;financing_type;budget_or_final;donor_type;allowance_label
fr;662;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Churfisten-Club, Acteur/trice: Schweizerische Volkspartei des Kantons St. Gallen, St. Gallen
fr;663;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Churfirsten-Club, Acteur/trice: Schweizerische Volkspartei des Kantons St. Gallen, St. Gallen
fr;664;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Handelskammer beider Basel, Acteur/trice: Dätwyler Martin, Laufen
fr;666;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Giacometti Anna, Acteur/trice: Freisinnig-Demokratische Partei Graubünden, Chur
fr;667;allowances;alphabetical;Financement des campagnes;2;22.10.2023 Élections au Conseil des États 2023;;campaign_financing;Montants finaux;personne physique;Donateur/trice: Schmid Martin, Acteur/trice: Freisinnig-Demokratische Partei Graubünden, Chur
fr;668;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Moving Media Basel AG, Acteur/trice: Sozialdemokratische Partei Basel-Stadt, Basel-Stadt
fr;67;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants budgétés;personne morale ou société de personnes;Donateur/trice: SP Schweiz, Acteur/trice: Sozialdemokratische Partei des Kantons Bern, Bern
fr;671;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Raiffeisenbank Schweiz, Acteur/trice: Schilliger Peter, Udligenswil
fr;672;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Schweizerischer Gebäudetechnikverband - suissetec, Acteur/trice: Schilliger Peter, Udligenswil
fr;673;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: TCS Schweiz und Sektion Waldstätte (3 Zahlungen insgesamt), Acteur/trice: Schilliger Peter, Udligenswil
fr;674;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: SGV Schweizerischer Gewerbeverband, Acteur/trice: Schilliger Peter, Udligenswil
fr;687;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: scienceindustries, Acteur/trice: scienceindustries, Zürich
fr;688;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: eit.swiss, Acteur/trice: Jauslin Matthias Samuel, Wohlen
fr;69;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants budgétés;personne morale ou société de personnes;Donateur/trice: FORUM AARGAU, Acteur/trice: FDP.Die Liberalen Aargau, Aarau
fr;690;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Vietze Kristiane, Acteur/trice: Kris nach Bern, Frauenfeld
fr;691;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: scienceindustries, Acteur/trice: scienceindustries, Zürich
fr;692;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: SwissLife, Acteur/trice: FDP.Die Liberalen Kanton Zürich, Zürich
